,name,address,plz,ort,rooms,sqm,price,currency,description,gemeinde,latlong,kreis,lat,long,pricesqm
0,Sonniges Haus im Grünen,Ruchackerstrasse 14,8046.0,Zürich,5.0,100.0,3200.0,CHF,"Dieses gemütliche Heim liegt an einer sonnigen, ruhigen Lage zwischen Oerlikon und Affoltern, Bus- und Tramverbindung in der Nähe. Die Terrasse und der grosszügige Garten laden zum Verweilen und kreativer Gestaltung ein.- Ruhige Lage in sympathischer Umgebung- Kurze Distanz zu Einkaufsmöglichkeiten und Bahnhof Oerlikon- Sonnige Terrasse und Garten- Separate, abgeschlossene, pflegeleichte Küche - Offenes Wohn- und Esszimmer mit Parkett- Zusätzliches Gäste-WC- Obergeschoss: 3 Schlafzimmer mit grossem Badezimmer- Estrich mit praktischen Einbauschränken- Untergeschoss: Keller und ein geräumiger WaschraumMelden Sie sich bitte Kontaktformular, ich freue mich.","Zürich, Kreis 11","(47.4123975, 8.5272154)",1,47.4123975, 8.5272154,32.0
1,Ihr Geschenk: 1 Monat gratis wohnen,Gutstrasse 159,8047.0,Zürich,3.5,103.0,3245.0,CHF,"Modernes Eck-Reihen-EFH am Fusse des Zürcher Hausbergs!Diese helle und top moderne 3.5 Zimmer-Eck-Reihen-EFH bietet Ihnen nebst der attraktiven Lage folgende Annehmlichkeiten:- ganze Wohnung mit Parkettboden Eiche rustikal- top moderne Küche- Glaskeramikherd und Geschirrspüler- Bad/WC und Dusche/WC- eigener Waschturm- KellerabteilDie genaue Raumaufteilung entnehmen Sie bitte dem Grundriss.Ein Einstellplatz kann bei Bedarf für Fr. 160.- pro Monat dazu gemietet werden.Einkaufsmöglichkeiten und der öffentliche Verkehr mit der Haltestelle ""Im Gut"" (Bus 67 und 89) befinden sich praktisch vor der Haustüre. Der Kindergarten Gutstrasse ist nur wenige Meter von der Liegenschaft entfernt. Und auch das Schulhaus Letzi ist zu Fuss gut erreichbar.Bei eine Mindestvertragsdauer von einem Jahr schenken wir Ihnen einen Gratismonat (Nettomiete).Eine Besichtigung lohnt sich. Gerne vereinbaren wir einen Besichtigungstermin.                        
                                    Zusatzinformationen im Web","Zürich, Kreis 9","(47.3737493, 8.5023375)",9,47.3737493, 8.5023375,31.50485436893204
2,Schönes Haus mit Umschwung und grossartiger Fernsicht,Ottenbergstrasse 27,8049.0,Zürich,7.5,164.0,4990.0,CHF,Wir vermieten ein 7.5-Zimmerhaus mit grossem Garten in Zürich-Höngg. Das Haus überzeugt nebst dem grosszügigen Umschwung und sonniger Lage unter anderem mit einer eindrücklichen Aussicht über die ganze Stadt Zürich. Diese Liegenschaft ist ideal für eine Familie mit Kindern. Trotz Stadtnähe ist es im Garten ruhig und erholsam. Das Naherholungsgebiet Hönggerberg ist in wenigen Gehminuten erreichbar.Lage / Infrastruktur:Öffentliche Verkehrsmittel: 1 bzw. 5 Gehminuten Einkaufsmöglichkeiten: ca. 15 Gehminuten Schulen: ca. 10-15 Gehminuten Naherholungsgebiet: 10-15 Gehminuten ETH: 15 Minuten mit ÖV HB Zürich: 15min mit ÖV Hallenbad Bläsi / Sporthalle: 5min mit ÖV Vorteilhafte Anforderungen an die zukünftigen Mieter: Freude und Flair für den Unterhalt des grossen Gartens.Haben wir Ihr Interesse geweckt?Dann zögern Sie nicht und kontaktieren Sie uns. Gerne vereinbaren wir einen Besichtigungstermin. Wir freuen uns auf Sie!,"Zürich, Kreis 10","(47.3970104, 8.51118643024845)",1,47.3970104, 8.51118643024845,30.426829268292682
3,4.5 Zimmerwohnung zu vermieten...,Im Glockenacker 65,8053.0,Zürich,4.5,85.0,1950.0,CHF,Per 01.08.2017 vermieten wir diese schöne 4.5 Zimmerwohnung im 2.OG an ruhiger Lage.Die Wohnung verfügt über folgenden Ausbaustandard: Küche mit Geschirrspüler Korridor und Zimmer mit Parkettboden Badezimmer mit Badewanne separate Dusche WC BalkonDie Liegenschaft ist eingebettet in grüne Natur. Das Zentrum Wittikon mit diversen Einkaufsmöglichkeiten ist in ca. 15 Gehmituten erreichbar. Die Bushaltestelle mit Verbindungen nach Schwerzenbach sowie nach Zürich ist nur wenige Meter entfernt.Haben wir Ihr Interesse geweckt? Dann Kontaktieren Sie Frau Wolfensebrger zu Bürozeiten unter der Nummer 058 715 63 78.,"Zürich, Kreis 7","(47.360768, 8.60155913784341)",7,47.360768, 8.60155913784341,22.941176470588236
4,Modernes 3.5 Zimmer-Reihenhaus mit Gartensitzplatz zu vermieten,Heerenschürlistrasse 4A,8051.0,Zürich,3.5,98.0,2700.0,CHF,"Wir vermieten per 01.08.2017 dieses wunderschöne 3.5-Zimmer-Reihenfamilienhaus. Die Liegenschaft Altwiesen wurde im Jahr 2014 erbaut und bietet Ihnen nebst der topmodernen Ausstattung (Minergie-Standard, Bodenheizung, hochwertige Materialien) und der hervorragenden Infrastruktur die folgende Ausstattung:- Wohn- und Schlafzimmer mit Parkettboden Eiche matt- Bad mit Steinzeugmosaik dunkel- grosszügiger und heller Wohn-/Essbereich- offene Küche mit moderner Ausstattung- mit Glaskeramikherd- mit Geschirrspüler- modernes Badezimmer mit Badewanne- separate Dusche mit WC- eigener Waschturm im kleinen Reduit im 1. OG- kein Kellerabteil- grosszügiges Reduit anstelle des Kellers- GartensitzplatzEs handelt sich um Musterbilder, die den Ausbaustandard zeigen. Weitere Bilder und Informationen zur Liegenschaft finden Sie auf www.altwiesen.ch.Die genaue Raumaufteilung entnehmen Sie bitte dem Grundriss.Ein Einstellplatz kann für Fr. 140.00 pro Monat dazu gemietet werden.Die vielseitige Sportanlage Herrenschürli, Jogging-Strecken, das Einkaufszentrum Glatt, Dienstleistungen aller Art, Restaurants und Spazierwege im Grünen, das alles befindet sich unweit Ihres neuen Zuhauses.Die Liegenschaft Altwiesen liegt für Benutzer des öffentlichen Verkehrs perfekt: S-Bahnhof Stettbach mit Direktverbindungen Richtung Hauptbahnhof und Stadelhofen, zwei Tramlinien, die Glatttalbahn direkt zum Flughafen Zürich, mehrere Buslinien – alles ist in wenigen Minuten erreichbar. Autofahrer erreichen den Anschluss zur Autobahn in ca. 5 Minuten.Haben wir Ihr interesse geweckt?Dann zögern Sie nicht und kontaktieren Sie uns, um einen Besichtigungstermin zu vereinbaren.Wir freuen uns auf Sie!                        
                                    Zusatzinformationen im Web","Zürich, Kreis 12","(47.4000061, 8.5919249)",1,47.4000061, 8.5919249,27.551020408163264
5,Viel Platz für Ihr Hobby,Schwandenholzstrasse 264,8046.0,Zürich,0.0,15.0,115.0,CHF,Die Liegenschaft Schwandenholz befindet sich in Zürich-Affoltern und ist mit dem öffentlichen sowie dem individual Verkehr gut errechbar. Der Raum verfügt über ein Fester sowie ein Lavabo und Steckdosen. Interessiert? Dann lohnt sich eine Besichtigung.,"Zürich, Kreis 11","(47.4247553, 8.51993110540345)",1,47.4247553, 8.51993110540345,7.666666666666667
6,3 Zimmer freie Wohnung ab Sofort in Zürich Seebach,Caspar-Wüststrasse 25,8052.0,Zürich,3.0,,1440.0,CHF,"Haben wir Ihr Interesse geweckt?  Dann freuen wir uns auf Ihre Kontaktaufnahme. Ab sofort oder nach Vereinbarung. Möglich. Für den Auftrag Geber ist eine einmalige Arbeits gebühr von 300 .- Fr geleistet werden. Bei der Anmeldung, Auch mit Betreibung möglich Sie können mich anrufen und Termin vereinbaren  TEL 0786595806","Zürich, Kreis 11","(47.4297182, 8.5429365)",1,47.4297182, 8.5429365,
8,7 Zimmer Reiheneinfamilienhaus mit Garten,Strickhofstrasse 10,8057.0,Zürich,7.0,225.0,5200.0,CHF,"Wir suchen für unser Bijou auf den Juli 2017 (August 2017 ebenfalls möglich wenn gewünscht) neue Mieter, da der Vormieter auswandert.  Das Haus wurde 2014  komplett saniert und verfügt über einen kleinen Garten sowie einen Vorgarten. Zudem steht ein Glasfaseranschluss der Stadt Zürich zur Verfügung und es wurde ein LAN eingebaut!  Die Räume sind noch mit den originalen Parkettböden versehen und es wurde viel Wert auf eine sanfte Renovation gelegt.   Parterre:  Entree mit neuer Garderobe, schönes Atelier, grosser Werkraum und viel Platz im Keller. Dusche. Aufgang zum Garten.  1. Stock:  Küche, Gäste - WC und 3 Wohnräume - Ausgang zum Garten mit schönen Reben und kleiner Wiese.  2. Stock:  3 Schlafzimmer - topmodernes Bad - separates WC.   Dachstock:  grosser isolierter Dachstock mit vielen Nutzungsmöglichkeiten  Garten:  Vor dem Haus Garten mit vielen Zierpflanzen. Hinter dem Haus sehr schöne Gartenlaube mit Weinreben, einem separaten Platz, einem Apfelbaum und viel Beerensträuchern und einer Rodhodendronbepflanzung. Kleine Wiese vorhanden.  Sehr ruhiges Quartier in der Nähe des lrchelparkes und sehr gute Verkehrsanbindung mit verschiedenen Tramlinien (Haltestellen in Fusswegdistanz). Kurzer Fahrweg zur Autobahn. Einkaufsmoglichkeiten in der Nähe oder im Nahen Oerlikon. Gute Besonnung und Schulen in der Nähe. Kein eigener Parkplatz (kann jedoch in der Uniparkgarage gemietet werden / evtl. auch blaue Zone)  Gesucht werden Nachmieter mit längerfristigem Interesse (Familie bevorzugt). Besichtigung nach Rücksprache immer am Freitagnachmittag möglich.","Zürich, Kreis 6","(47.39509305, 8.54577019370229)",6,47.39509305, 8.54577019370229,23.11111111111111
9,Erstvermietung: 4 1/2 Zimmer Gartenwohnung an ruhiger Lage in Seebach,Ausserdorfstrasse 26,8052.0,Zürich,4.5,107.0,3350.0,CHF,An bevorzugter ruhiger Wohnlage in Zürich-Seebach vermieten wir diese traumhafte helle 4 1/2 Zimmer Gartenwohnung mit gehobenem Ausbaustandard. Hier einige Details zum komfortablen Ausbau: - grosszügiger Wohn/Essbereich - alle Zimmer mit Eichenparkett - Bodenheizung - moderne Küche mit Granitabdeckung - Glaskeramikherd - Geschirrspühler - Backofen / Steamer - Bad/WC und Dusche/WC - eigener  Waschturm in der Wohnung - Multimediaverkabelung in allen ZImmern - elektrische Storen - Terasse mit Umschwung - Kellerabteil - Veloabstellraum - Tiefgaragenplatz verfügbar für Fr. 150.00/Monat  Haben wir Ihr Interesse geweckt? Gerne können wir einen Besichtignugstermin vereinbaren.,"Zürich, Kreis 11","(47.50993765, 8.71297268754346)",1,47.50993765, 8.71297268754346,31.30841121495327
10,Studio an schöner Hanglage mit Aussicht auf die City,Tobeleggweg 34,8049.0,Zürich,1.0,25.0,885.0,CHF,An sonniger und ruhiger Wohnlage vermieten wir per 1.09.2017 in einem gepflegten Mehrfamilienhaus dieses praktische Studio.Die Wohnung hat folgendes zu bieten: Wohn- Schlafzimmer mit Parkettboden Einbauküche mit 2 Herdplatten Badezimmer mit Badewanne KellerabteilEine Waschküche und ein Trockenraum stehen zur Mitbenützung zur Verfügung. Haben wir Ihr Interesse geweckt? Dann zögern Sie nicht sich mit uns in Verbindung zu setzen.,"Zürich, Kreis 10","(47.3975483, 8.5018517)",1,47.3975483, 8.5018517,35.4
